GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
App,app,App,5,3,0,0,2,1,1,1,1,1
App,app.service,VendaService,0,105,0,4,0,24,0,13,0,11
App,app.service,FuncionarioService,22,35,0,0,5,9,4,5,4,5
App,app.service,ClienteService,0,59,0,0,0,14,0,9,0,9
App,app.service,ProdutoService,0,59,0,0,0,14,0,9,0,9
App,app.controller,ClienteController,60,92,0,0,16,17,0,9,0,9
App,app.controller,VendaController,60,92,0,0,16,17,0,9,0,9
App,app.controller,ProdutoController,60,92,0,0,16,17,0,9,0,9
App,app.controller,FuncionarioController,104,48,0,0,24,9,4,5,4,5
App,app.entity,Produto,10,21,0,0,4,9,3,6,3,6
App,app.entity,Funcionario,12,26,0,0,4,12,4,7,4,7
App,app.entity,Venda,16,36,0,0,6,16,5,10,5,10
App,app.entity,Cliente,16,29,0,0,6,13,5,8,5,8
